Reference ID,Formula,Microstructure,Processing Method,Calculated Density (g/cm³),Yield Strength (MPa)
147,Cr1 Mo1 Nb1 Ta1 V1 W1,BCC+Laves+Sec.,POWDER,11.7,3410.0
147,Cr1 Mo1 Nb1 Ta1 V1 W1,BCC+Laves+Sec.,POWDER,11.7,3338.0
153,Al0.544 C0.001 Co0.69 Fe1 Ni0.69,B2+L12,CAST,7.0,1202.0
206,Cr0.286 Mo0.476 Nb1 Ta0.024 Ti0.31 V0.286,BCC+Sec.,POWDER,8.0,2680.0
207,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,1719.0
215,Al1 Co1 Cr1 Fe1 Ni1,B2+BCC,CAST,6.7,1631.0
215,Al1 Co1 Cr1 Fe1 Ni1,B2+BCC,CAST,6.7,1209.0
219,Mo1 Nb1 Re0.5 W1,BCC,CAST,13.7,896.0
219,C0.2 Mo1 Nb1 Re0.5 Ta0.2 W1,BCC+Sec.,CAST,13.5,1074.0
219,C0.4 Mo1 Nb1 Re0.5 Ta0.4 W1,BCC+Sec.,CAST,13.4,1144.0
219,C0.5 Mo1 Nb1 Re0.5 Ta0.5 W1,BCC+Sec.,CAST,13.3,1202.0
219,C0.6 Mo1 Nb1 Re0.5 Ta0.6 W1,BCC+Sec.,CAST,13.3,1241.0
224,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC+B2,CAST,5.9,1241.0
224,Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,BCC+B2,CAST,5.9,1324.0
224,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.333,BCC+B2,CAST,6.1,1566.0
224,Al1 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti0.667,BCC+B2,CAST,6.2,1503.0
224,Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+B2+Laves,CAST,6.2,1448.0
224,Al0.667 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti1,BCC+B2+Laves,CAST,6.3,1272.0
230,Hf1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,11.2,1550.0
230,Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,11.1,1637.0
231,Nb1 Ti1 Zr1,BCC,CAST,6.5,1223.0
231,Hf1 Nb1 Ti1 Zr1,BCC,CAST,8.4,1000.0
232,Co1 Cr1 Fe1 Ni1,FCC,CAST,8.2,163.0
232,Co1 Cr1 Fe1 Ni1 W0.2,FCC,CAST,8.9,335.0
232,Co1 Cr1 Fe1 Ni1 W0.5,FCC+Sec.,CAST,9.8,556.0
233,Cr1 Fe1 Mo1 Nb1 V1,BCC+Laves,CAST,8.1,2663.0
233,Cr1 Fe1 Mo1 Nb1 Ti1,BCC+Laves,CAST,7.6,1647.0
233,Fe1 Mo1 Nb1 Ti1 V1,BCC+B2,CAST,7.4,1707.0
